Const,Your Rating,Date Rated,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt0208092,10,,Snatch,https://www.imdb.com/title/tt0208092/,movie,8.3,104,2000,"Comedy, Crime",791727,2000-08-23,Guy Ritchie
tt0100150,8,,Miller's Crossing,https://www.imdb.com/title/tt0100150/,movie,7.7,115,1990,"Crime, Drama, Thriller",127180,1990-09-21,"Joel Coen, Ethan Coen"
tt1003034,7,,Perrier's Bounty,https://www.imdb.com/title/tt1003034/,movie,6.4,88,2009,"Action, Comedy, Crime, Drama, Romance, Thriller",6505,2009-09-11,Ian Fitzgibbon
tt0101540,8,,Cape Fear,https://www.imdb.com/title/tt0101540/,movie,7.3,128,1991,"Crime, Thriller",177071,1991-10-06,Martin Scorsese
tt1020116,10,,Boris,https://www.imdb.com/title/tt1020116/,tvSeries,8.5,25,2007,Comedy,3128,2007-04-16,
tt0102059,8,,Hot Shots!,https://www.imdb.com/title/tt0102059/,movie,6.8,84,1991,"Action, Comedy",100494,1991-07-26,Jim Abrahams
tt0102587,8,,Omohide poro poro,https://www.imdb.com/title/tt0102587/,movie,7.6,118,1991,"Animation, Drama, Romance",27995,1991-07-20,Isao Takahata
tt10288566,8,,Druk,https://www.imdb.com/title/tt10288566/,movie,7.8,117,2020,"Comedy, Drama",64822,2020-09-12,Thomas Vinterberg
tt0102926,9,,The Silence of the Lambs,https://www.imdb.com/title/tt0102926/,movie,8.6,118,1991,"Crime, Drama, Thriller",1292581,1991-01-30,Jonathan Demme
tt1032755,9,,RocknRolla,https://www.imdb.com/title/tt1032755/,movie,7.3,114,2008,"Action, Crime, Thriller",238352,2008-09-04,Guy Ritchie
tt0104348,9,,Glengarry Glen Ross,https://www.imdb.com/title/tt0104348/,movie,7.7,100,1992,"Crime, Drama, Mystery",96982,1992-08-30,James Foley
tt0110912,9,,Pulp Fiction,https://www.imdb.com/title/tt0110912/,movie,8.9,154,1994,"Crime, Drama",1854968,1994-05-21,Quentin Tarantino
tt0111161,10,,The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,movie,9.3,142,1994,Drama,2381344,1994-09-10,Frank Darabont
tt1121931,10,,Crank: High Voltage,https://www.imdb.com/title/tt1121931/,movie,6.2,96,2009,"Action, Crime, Thriller",141993,2009-04-16,"Brian Taylor, Mark Neveldine"
tt0114369,9,,Se7en,https://www.imdb.com/title/tt0114369/,movie,8.6,127,1995,"Crime, Drama, Mystery, Thriller",1470308,1995-09-15,David Fincher
tt0114814,10,,The Usual Suspects,https://www.imdb.com/title/tt0114814/,movie,8.5,106,1995,"Crime, Mystery, Thriller",1004063,1995-01-25,Bryan Singer
tt1210166,8,,Moneyball,https://www.imdb.com/title/tt1210166/,movie,7.6,133,2011,"Biography, Drama, Sport",377209,2011-09-09,Bennett Miller
